Route Number,Route Name,Boarding Points,Starting Time
R-1,ENNORE,"Lift Gate, Wimco Market, Ajax, Periyar Nagar, Thiruvortiyur Market, Theradi, Ellaimman Koil, Raja Kadai, Toll Gate, Kasimedu, Kalmandapam, Royapuram Bridge, Beach Station, Parry's, Central, Egmore, Dasprakash, Eaga Theatre, Amjikarai Market, RIT Campus",5:50 AM
R-2,Triplicane,"Chintadripet (Post Office), D1 Police Station, Triplicane -High Way, Ice House Police Station, Meersahibpet-Market, Royapettah New College, Sterling Road (Bharath Petrol Bunk), Choolaimedu Subway, Choolaimedu bus stop, Anna Arch, Arumbakkam Panchaliamman Koil, NSK, Maduravoyal- Murugan Store, RIT Campus",6:20 AM
R-3,CHOOLAI,"Pulianthope, Choolai Post Office, Purasaivakkam Doveton, Kellys Signal, Water tank road signal, Kilpauk Garden, Chinthamani, Anna Nagar Roundtana, Thirumangalam Blue star, VR Mall, Maduravoyal Ration Shop, RIT Campus",6:20 AM
R-4,East Mogapair,"JJ Nagar Police Station, HDFC Bank, IOB Bank, 7 H Bus Depot, Amutha School, D.R.Super Market, Nolambur, Meadows Apartment, MGR University, RIT Campus",6:30 AM
R-5,CIT Nagar,"CIT Nagar, Aranganathan Subway, Srinivasa Theatre, Metupalayam, Sangamam Hotel, Aryagowda Road, Vivek, Usman Road, Loyalo College, MMDA Water Tank, MMDA Bus Stand, RIT Campus",6:10 AM
R-6,CHINMAYA NAGAR,"Chinmaiya Nagar, Sai Nagar, Natesan Nagar, Elango Nagar, Virugampakkam, KK Nagar, KK Nagar ESI, Ashok Pillar, Kasi Theatre, Ekkatuthangal, Olympia, Porur Saravana Store, RIT Campus",6:10 AM
R-7,SANTHOME,"Mandaveli Bus Depot, Pattinapakkam, Kutchery Road, Luz Corner, P.S.Sivasamy Road, SIET College, Nanthanam Signal, Saidapet Vetrinary Hospital, Saidapet Bus Stop, Guindy, Butt Road, Chennai Trade Centre, Porur, Ayyapanthangal, RIT Campus",6:10 AM
R-8,KOVILAMBAKKAM,"Kovilampakkam, Keelkattalai Bus Stop, Madipakkam UTI Bank, Madipakkam Koot Road Bus stop, Ranga Theatre, Nanganallur Chidambaram Stores, Nanganallur Saravana Hotel, Vanuvampet Church, Surendhar Nagar Bus Stop, Jayalakshmi Theatre, Thillai Ganga Nagar Sub Way, Aazar Khana Bus Stop, Butt Road, Ramavaram, College Campus",6:10 AM
R-9,MKB Nagar,"Vyasarpadi, MKB Nagar, E.B. Stop, Kannadhasan Nagar, M.R.Nagar, Lakshmi Amman Nagar, P.B.Road, Perumbur Market, Agaram, Peravalur Road, RIT Campus",6:00 AM
R-10,Thachoor,"Thachoor, Panjetty, Janappanchatram Bypass, Karanodai Bypass, Vijaya Nallur, Toll Gate, Padianallur, Red Hills (GRT), Red Hills Market, Kavangarai, Puzhal Jail, Puzhal Camp, Velammal College, RIT Campus",5:50 AM
R-11,Chengalpattu,"Srinivasapuram, Guduvanchery, E.B, Urapakkam, Vandalur, Perungalathur, Irrummpuliyur, Sanitoriyum MEPZ, T.B.Hospital, Nagalkani, RIT Campus",6:00 AM
R-12,Manali,"Manali Market, MMDA 3rd Main Road, MMDA 1st Main Road, Madavaram Milk Colony, Arul Nagar, Thapalpetti, Moolakadai, Donbosco, Thiruvika Nagar, Kolathur Welding shop, Kolathur Mugambigai Theatre, RIT Campus",6:05 AM
R-13,Vyasarpadi,"Ganeshapuram, G3 Police Station, Pattalam, Otteri, Podi Kadai, T.B.Hospital, Ayanawaram Signal, Sayyani, Ayanawaram Noor Hotel, Joint Office, Ayanawaram Railway Quarters, ICF, Villivakkam, Nadhamuni, Vanagaram, Velappanchavadi, RIT Campus",6:10 AM
R-14,Thiruvallur,"Sevapetai, Kakkalur, Poonga Nagar, GRT, Manavalanagar Signal, Manavalanagar Railway Station, Putlur, Aranvoyal, Puthuchatram (India Japan Company), RIT Campus",6:25 AM
R-15,Kanchipuram,"Ayyangarkulam, Housing Board, Collector Office, Keerai Mandapam, Rangasamy Kulam, Kanchipuram Bus Stand, Sriperumbudur High School, Sriperumbudur Bus stand, Sriperumbudur - Theradi, Irungattukottai bus stand, College Campus",6:00 AM
R-16,Neelangkarai,"Prathana Theatre, Vetuvankeni",6:10 AM
